"Device","Function Group","Function Name","Zone","ID1 Code","ID2 Code","Comment","Export Comment – starting this with # will comment out the code as well"
"SIRIUS","MENU","PRESET_SEARCH","-","7F01-116E","7F01-116F",,
"SIRIUS","OPERATION","CH_PRESET_NO_DOWN","-","7F01-E5","7F01-E51B",,
"SIRIUS","OPERATION","CATEGORY_PRESET_GROUP_DOWN","-","7F01-E2","7F01-E21C",,
"SIRIUS","OPERATION","CATEGORY_PRESET_GROUP_UP","-","7F01-E4","7F01-E41A",,
"SIRIUS","OPERATION","CH_PRESET_NO_UP","-","7F01-E1","7F01-E11F",,
"TUNER","MENU","SEARCH_MODE","-","7A-AB","7A-AB55",,
"TUNER","MENU","SEARCH_MODE_MANUAL","-","7F01-FE","7F01-FE00",,
"TUNER","MENU","SEARCH_MODE_PRESET","-","7F01-FD","7F01-FD03",,
"TUNER","OPERATION","AUTO_TUNING-","-","7E-BF","7E-BF41",,
"TUNER","OPERATION","AUTO_TUNING+","-","7E-BE","7E-BE40",,
"TUNER","OPERATION","TUNING_PRESET_NO_DOWN","-","7A-11","7A-11EF",,
"TUNER","OPERATION","TUNING_PRESET_NO_UP","-","7A-10","7A-10EE",,
"TUNER","BAND","AM","-","7E-BD","7E-BD43",,
"TUNER","BAND","FM","-","7E-BC","7E-BC42",,
,,,,,,,
,,,,,,,
"RECEIVER","ZONE_CONTROL","PARTY","-","7A-34","7A-34CA","767 867 1067 2067 3067",
"RECEIVER","MEMORY","SCENE1","MAIN","7A-007F","7A-007E","667 767 867 1067 2067 3067","Will turn on receiver in standby"
"RECEIVER","MEMORY","SCENE1","ZONE2","7A-017E","7A-017F","1067 2067 3067",
"RECEIVER","MEMORY","SCENE1","ZONE3","7A-027D","7A-027C","2067 3067",
"RECEIVER","MEMORY","SCENE1","ZONE4","7A-1867","7A-1866","3067",
"RECEIVER","MEMORY","SCENE2","MAIN","7A-037C","7A-037D","667 767 867 1067 2067 3067","Will turn on receiver in standby"
"RECEIVER","MEMORY","SCENE2","ZONE2","7A-047B","7A-047A","1067 2067 3067",
"RECEIVER","MEMORY","SCENE2","ZONE3","7A-057A","7A-057B","2067 3067",
"RECEIVER","MEMORY","SCENE2","ZONE4","7A-1966","7A-1967","3067",
"RECEIVER","MEMORY","SCENE3","MAIN","7A-0679","7A-0678","667 767 867 1067 2067 3067","Will turn on receiver in standby"
"RECEIVER","MEMORY","SCENE3","ZONE2","7A-0778","7A-0779","1067 2067 3067",
"RECEIVER","MEMORY","SCENE3","ZONE3","7A-0877","7A-0876","2067 3067",
"RECEIVER","MEMORY","SCENE3","ZONE4","7A-1A65","7A-1A64","3067",
"RECEIVER","MEMORY","SCENE4","MAIN","7A-0976","7A-0977","667 767 867 1067 2067 3067","Will turn on receiver in standby"
"RECEIVER","MEMORY","SCENE4","ZONE2","7A-0A75","7A-0A74","1067 2067 3067",
"RECEIVER","MEMORY","SCENE4","ZONE3","7A-0B74","7A-0B75","2067 3067",
"RECEIVER","MEMORY","SCENE4","ZONE4","7A-1B64","7A-1B65","3067",
"RECEIVER","MEMORY","MEMORY","MAIN","7F01-6718","7F01-6719",,
"RECEIVER","PROGRAM","ENHANCER","-","7A-94","7A-946A",,
"RECEIVER","PROGRAM","PROGRAM-","-","7A-59","7A-59A7","2067 3067",
"RECEIVER","PROGRAM","MOVIE","-","7A-88","7A-8876","667 767 867 1067",
"RECEIVER","PROGRAM","MUSIC","-","7A-89","7A-8977","667 767 867 1067",
"RECEIVER","PROGRAM","CLASSICAL","-","7A-8A","7A-8A74","2067 3067",
"RECEIVER","PROGRAM","LIVE_CLUB","-","7A-8B","7A-8B75","2067 3067",
"RECEIVER","PROGRAM","ENTERTAIN","-","7A-8C","7A-8C72","2067 3067",
"RECEIVER","PROGRAM","MOVIE2","-","7A-8E","7A-8E70","2067 3067",
"RECEIVER","PROGRAM","STEREO","-","7A-8F","7A-8F71","2067 3067",
"RECEIVER","PROGRAM","PROGRAM+","-","7A-58","7A-58A6","2067 3067",
"RECEIVER","PROGRAM","PURE_DIRECT","-","7A-DD","7A-DD23",,
"RECEIVER","PROGRAM","STRAIGHT","-","7A-56","7A-56A8",,
"RECEIVER","PROGRAM","SURROUND_DECODE","-","7A-8D","7A-8D73",,
"RECEIVER","VOLUME","MUTE","MAIN","7A-1C","7A-1CE2",,
"RECEIVER","VOLUME","MUTE","ZONE2","7A-DC","7A-DC22",,
"RECEIVER","VOLUME","MUTE","ZONE3","7A-FF","7A-FF01","2067 3067",
"RECEIVER","VOLUME","VOLUME-","MAIN","7A-1B","7A-1BE5",,
"RECEIVER","VOLUME","VOLUME-","ZONE2","7A-DB","7A-DB25",,
"RECEIVER","VOLUME","VOLUME-","ZONE3","7A-FE","7A-FE00","2067 3067",
"RECEIVER","VOLUME","VOLUME+","MAIN","7A-1A","7A-1AE4",,
"RECEIVER","VOLUME","VOLUME+","ZONE2","7A-DA","7A-DA24",,
"RECEIVER","VOLUME","VOLUME+","ZONE3","7A-FD","7A-FD03","2067 3067",
"RECEIVER","OUTPUT","HDMI_OUT","-","7A-35","7A-35CB","667 767 867 1067 2067 3067",
"RECEIVER","MENU","DOWN","MAIN","7A-9C","7A-9C62",,
"RECEIVER","MENU","DOWN","ZONE2","7A-2C53","7A-2C52","2067 3067",
"RECEIVER","MENU","DOWN","ZONE3","7A-314E","7A-314F","2067 3067",
"RECEIVER","MENU","DOWN","ZONE4","7A-3649","7A-3648","3067",
"RECEIVER","MENU","ENTER","MAIN","7A-DE","7A-DE20",,
"RECEIVER","MENU","ENTER","ZONE2","7A-2F50","7A-2F51","2067 3067",
"RECEIVER","MENU","ENTER","ZONE3","7A-344B","7A-344A","2067 3067",
"RECEIVER","MENU","ENTER","ZONE4","7A-3946","7A-3947","3067",
"RECEIVER","MENU","LEFT","MAIN","7A-9F","7A-9F61",,
"RECEIVER","MENU","LEFT","ZONE2","7A-2D52","7A-2D53","2067 3067",
"RECEIVER","MENU","LEFT","ZONE3","7A-324D","7A-324C","2067 3067",
"RECEIVER","MENU","LEFT","ZONE4","7A-3748","7A-3749","3067",
"RECEIVER","MENU","LEVEL","-","7A-86","7A-8678",,
"RECEIVER","MENU","ON_SCREEN","MAIN","7A-84","7A-847A",,
"RECEIVER","MENU","RETURN","MAIN","7A-AA","7A-AA54",,
"RECEIVER","MENU","RETURN","ZONE2","7A-3C43","7A-3C42","2067 3067",
"RECEIVER","MENU","RETURN","ZONE3","7A-3F40","7A-3F41","2067 3067",
"RECEIVER","MENU","RETURN","ZONE4","7A-423D","7A-423C","3067",
"RECEIVER","MENU","RIGHT","MAIN","7A-9E","7A-9E60",,
"RECEIVER","MENU","RIGHT","ZONE2","7A-2E51","7A-2E50","2067 3067",
"RECEIVER","MENU","RIGHT","ZONE3","7A-334C","7A-334D","2067 3067",
"RECEIVER","MENU","RIGHT","ZONE4","7A-3847","7A-3846","3067",
"RECEIVER","MENU","OPTION","MAIN","7A-6B14","7A-6B15",,
"RECEIVER","MENU","OPTION","ZONE2","7A-6C13","7A-6C12","2067 3067",
"RECEIVER","MENU","OPTION","ZONE3","7A-6D12","7A-6D13","2067 3067",
"RECEIVER","MENU","OPTION","ZONE4","7A-6E11","7A-6E10","3067",
"RECEIVER","MENU","UP","MAIN","7A-9D","7A-9D63",,
"RECEIVER","MENU","UP","ZONE2","7A-2B54","7A-2B55","2067 3067",
"RECEIVER","MENU","UP","ZONE3","7A-304F","7A-304E","2067 3067",
"RECEIVER","MENU","UP","ZONE4","7A-354A","7A-354B","3067",
"RECEIVER","POWER","POWER_ON_STANDBY","MAIN","7E-2A","7E-2AD4",,
"RECEIVER","POWER","POWER_ON_STANDBY","ZONE2","7A-453A","7A-453B",,
"RECEIVER","POWER","POWER_ON_STANDBY","ZONE3","7A-4639","7A-4638","2067 3067",
"RECEIVER","POWER","POWER_ON_STANDBY","ZONE4","7A-6F10","7A-6F11","3067",
"RECEIVER","POWER","SLEEP","MAIN","7A-30","7A-30CE",,
"RECEIVER","POWER","SLEEP","ZONE2","7A-31","7A-31CF",,
"RECEIVER","POWER","SLEEP","ZONE3","7A-32","7A-32CC","2067 3067",
"RECEIVER","POWER","SLEEP","ZONE4","7A-33","7A-33CD","3067",
"RECEIVER","INPUT","AUDIO1","MAIN","7A-651A","7A-651B",,
"RECEIVER","INPUT","AUDIO1","ZONE2","7A-6619","7A-6618",,
"RECEIVER","INPUT","AUDIO1","ZONE3","7A-6718","7A-6719","2067 3067",
"RECEIVER","INPUT","AUDIO1","ZONE4","7A-8CF3","7A-8CF2","3067",
"RECEIVER","INPUT","AUDIO2","MAIN","7A-6817","7A-6816",,
"RECEIVER","INPUT","AUDIO2","ZONE2","7A-6916","7A-6917",,
"RECEIVER","INPUT","AUDIO2","ZONE3","7A-6A15","7A-6A14","2067 3067",
"RECEIVER","INPUT","AUDIO2","ZONE4","7A-8DF2","7A-8DF3","3067",
"RECEIVER","INPUT","AUDIO3","MAIN","7A-7C03","7A-7C02","1067 2067 3067",
"RECEIVER","INPUT","AUDIO3","ZONE2","7A-7D02","7A-7D03","1067 2067 3067",
"RECEIVER","INPUT","AUDIO3","ZONE3","7A-7E01","7A-7E00","2067 3067",
"RECEIVER","INPUT","AUDIO4","MAIN","7A-7F00","7A-7F01","1067 2067 3067",
"RECEIVER","INPUT","AUDIO4","ZONE2","7A-80FF","7A-80FE","1067 2067 3067",
"RECEIVER","INPUT","AUDIO4","ZONE3","7A-81FE","7A-81FF","2067 3067",
"RECEIVER","INPUT","AV1","MAIN","7A-532C","7A-532D",,
"RECEIVER","INPUT","AV1","ZONE2","7A-542B","7A-542A","1067 2067 3067",
"RECEIVER","INPUT","AV1","ZONE3","7A-552A","7A-552B","2067 3067",
"RECEIVER","INPUT","AV1","ZONE4","7A-84FB","7A-84FA","3067",
